model,dataset,total,correct,accuracy,accuracy_ci_lower,accuracy_ci_upper
Qwen/Qwen3-0.6B_True,attrition,1998,1058,52.95295295295295,49.02123561412166,57.171867398603
Qwen/Qwen3-0.6B_True,bank_marketing,1644,496,30.170316301703163,25.628140703517587,35.000156838143035
Qwen/Qwen3-0.6B_True,breast_cancer_recurrence,2000,1454,72.7,64.9427675830192,79.92216475846021
Qwen/Qwen3-0.6B_True,heart_disease,2000,992,49.6,41.93506340610179,56.76311600106408
Qwen/Qwen3-0.6B_True,income,1996,1014,50.80160320641283,46.568706937514854,55.26359607391458
Qwen/Qwen3-0.6B_True,pima_diabetes,2000,928,46.400000000000006,41.217233158878756,51.317707378401735
Qwen/Qwen3-4B_True,attrition,2000,926,46.300000000000004,40.97694762933422,51.58332549061129
Qwen/Qwen3-4B_True,bank_marketing,2000,1580,79.0,74.89953129455374,82.98769320483889
Qwen/Qwen3-4B_True,breast_cancer_recurrence,1992,1000,50.20080321285141,42.362970383470255,58.21698059331097
Qwen/Qwen3-4B_True,heart_disease,2000,1068,53.400000000000006,46.027398800906276,60.96602552160953
Qwen/Qwen3-4B_True,income,2000,1244,62.2,57.0575450120593,67.09684721704853
Qwen/Qwen3-4B_True,pima_diabetes,1998,1198,59.95995995995996,55.522331915677626,64.34568592327214
Qwen/Qwen3-8B_True,attrition,2000,996,49.8,45.05179658070125,54.599026692923026
Qwen/Qwen3-8B_True,bank_marketing,2000,1696,84.8,80.68130579340499,88.6436627541902
Qwen/Qwen3-8B_True,breast_cancer_recurrence,2000,1042,52.1,44.24098205348206,60.02083926199961
Qwen/Qwen3-8B_True,heart_disease,2000,1154,57.699999999999996,50.40522744783559,64.36764374119973
Qwen/Qwen3-8B_True,income,2000,1302,65.10000000000001,60.220111206869696,70.20877181724846
Qwen/Qwen3-8B_True,pima_diabetes,2000,1226,61.3,56.18135197512052,65.66165820110751
